,state,district,ppv_name,latitude,longitude
0,Perlis,Kangar,"Dewan Seri Melati, Perlis",6.5152961,100.2386186
1,Perlis,Kangar,"Dewan Warisan, Perlis",6.4401103,100.18808659999999
2,Perlis,Perlis,Dewan 2020,6.4148905,100.19497940000001
3,Perlis,Perlis,Hospital Tuanku Fauziah,6.4403051,100.1904689
4,Penang,Barat Daya,Hospital Balik Pulau,5.3502289,100.2331295
5,Penang,Barat Daya,Kompleks Sukan Balik Pulau,5.3387159,100.2137245
6,Penang,Bayan Lepas,Subterranean Penang International Convention & Exhibition Centre (SPICE),5.3299750999999995,100.27999229999999
7,Penang,Bayan Lepas,TAPAK PESTA PULAU PINANG,5.3439362,100.3003605
8,Penang,Seberang Jaya,Tapak Ekspo Seberang Jaya,5.400368,100.40448345
9,Penang,Seberang Perai Selatan,Dewan Serbaguna Jawi,5.1988894,100.49275490000001
10,Penang,Seberang Perai Selatan,DEWAN SERBAGUNA SG. BAKAP,5.214622299999999,100.4969337
11,Penang,Seberang Perai Selatan,Hospital Sungai Bakap,5.2192779,100.4972446
12,Penang,Seberang Perai Tengah,Hospital Bukit Mertajam,5.3593459,100.4640656
13,Penang,Seberang Perai Tengah,Hospital Seberang Jaya,5.3941082,100.40782709999999
14,Penang,Seberang Perai Tengah,Seberang Perai Arena Convention Centre,5.386991200000001,100.4014628
15,Penang,Seberang Perai Utara,Dewan Milenium Kepala Batas,5.514339700000001,100.43772440000001
16,Penang,Seberang Perai Utara,DEWAN PERDA CONVENTION CENTRE,5.503465599999999,100.5012349
17,Penang,Seberang Perai Utara,Hospital Kepala Batas,5.5126465,100.4365729
18,Penang,Timur Laut,Hospital Pulau Pinang,5.4170514,100.3114489
19,Penang,Timur Laut,Kompleks Masyarakat Penyayang,5.4177619,100.3053281
20,Kedah,Baling,Dewan Kenangan Tun Abdul Razak,5.6742916,100.9216075
21,Kedah,Baling,"Dewan MDB Kupang, Baling",5.634457299999999,100.8462954
22,Kedah,Baling,Hospital Baling,5.6777182,100.92581650000001
23,Kedah,Bandar Baharu,Kompleks Sukan Komuniti Serdang,5.207739599999999,100.6131852
24,Kedah,Kota Setar,Hospital Sultanah Bahiyah,6.1488245,100.4063735
